Epoch, Train Accuracy, Train Cost, Validation Accuracy, Validation Cost, 
0, 94.7294, 0.281932, 94.7556, 0.279193, 
1, 95.5922, 0.241537, 95.5667, 0.24775, 
2, 95.9824, 0.222611, 95.8667, 0.227143, 
3, 96.449, 0.198578, 95.8556, 0.216776, 
4, 95.4412, 0.225455, 95.2556, 0.230311, 
5, 
